Txn_ID,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Other (ms)
969378413674496,1748851302329061745,1748851302536781257,207.72,1.898,194.494,11.328
1270447031189504,1748851311601098021,1748851311794258523,193.161,1.968,181.728,9.465
655094181789697,1748851292427774305,1748851292640674107,212.9,0.86,202.809,9.231
497537601503232,1748851287354869197,1748851287562760149,207.891,2.817,198.632,6.442
856699946663936,1748851298823481051,1748851299020371617,196.891,0.624,186.894,9.373
1187300759306240,1748851309070900242,1748851309269126050,198.226,2.374,188.455,7.396
194227011059712,1748851276855196621,1748851277109223144,254.027,5.084,246.986,1.956
1542705008082944,1748851319737248296,1748851319935391920,198.144,3.952,188.318,5.874
602485127380993,1748851290698708007,1748851290904678063,205.97,0.407,201.439,4.124
1006332312289281,1748851303492706395,1748851303692919574,200.213,0.047,191.287,8.88
294896749510656,1748851280518363588,1748851280749632825,231.269,0.041,223.082,8.146
264819093536769,1748851279451521948,1748851279681257412,229.735,0.03,222.062,7.644
147227183939584,1748851274738128630,1748851275061156703,323.028,0.03,313.872,9.126
1145978878951425,1748851307826496564,1748851308017853528,191.357,0.03,186.86,4.468
1674766662500353,1748851323766776374,1748851323963977228,197.201,0.033,189.861,7.306
1630081822752769,1748851322382968382,1748851322581246588,198.278,0.035,190.338,7.905
927081575743489,1748851301000395527,1748851301205166404,204.771,0.032,195.031,9.707
1636240805855233,1748851322577539126,1748851322781831961,204.293,1.717,195.766,6.809
6592774799360,1748851267395435573,1748851268120837859,725.402,121.077,575.566,28.76
1318554959873,1748851267347216723,1748851267446762375,99.546,9.659,50.171,39.716
661931769724929,1748851292649414535,1748851292862808120,213.394,1.49,203.111,8.793
1134756129406976,1748851307485744633,1748851307679250580,193.506,0.066,187.143,6.297
187866164494337,1748851276585856118,1748851276858798906,272.943,5.119,263.139,4.684
1170382883127296,1748851308565419109,1748851308760435485,195.016,0.74,182.648,11.628
935413812297729,1748851301264225280,1748851301463044897,198.82,3.627,187.408,7.785
1284251056078848,1748851312007110667,1748851312192749045,185.638,0.427,174.804,10.408
629478996836352,1748851291575767121,1748851291790996693,215.23,4.936,206.945,3.348
321435352432641,1748851281472469781,1748851281696269464,223.8,0.829,217.73,5.24
1053031491698689,1748851304948758611,1748851305144845676,196.087,1.239,190.895,3.953
911383470276608,1748851300508655877,1748851300711154963,202.499,7.953,195.773,0.0
244241905221632,1748851278708204777,1748851278944141057,235.936,2.557,224.16,9.22
1757552157130753,1748851326291397860,1748851326486035239,194.637,0.969,185.114,8.554
486632679538689,1748851287003188493,1748851287213465310,210.277,1.271,198.364,10.642
1171267646390272,1748851308591122084,1748851308781286562,190.164,2.451,178.121,9.593
737548963938305,1748851295115727310,1748851295313802506,198.075,0.161,192.722,5.193
1702426251886593,1748851324606842343,1748851324806870776,200.028,2.245,188.187,9.597
185757335552000,1748851276505583036,1748851276775283701,269.701,2.528,258.928,8.245
729577504636928,1748851294859750796,1748851295064350695,204.6,0.054,193.312,11.234
728688446406657,1748851294829585210,1748851295035483272,205.898,0.058,198.463,7.377
1634106207109120,1748851322512169889,1748851322712157395,199.988,2.922,191.57,5.495
597580274728961,1748851290543109720,1748851290745010820,201.901,0.04,198.072,3.79
89017492176897,1748851271858548343,1748851272176841024,318.293,0.14,310.166,7.986
1561306511441920,1748851320296946757,1748851320491366530,194.42,0.257,185.257,8.906
1552884080574464,1748851320047125436,1748851320234581638,187.456,0.273,180.728,6.455
1760107662671873,1748851326369046452,1748851326564215603,195.169,1.935,183.059,10.175
270376781217792,1748851279647285199,1748851279881459179,234.174,3.537,225.95,4.687
19640885444608,1748851268335501134,1748851268647137610,311.636,12.607,304.047,0.0
611796616478720,1748851290996037843,1748851291206314088,210.276,6.969,202.323,0.985
1148701888217089,1748851307907603863,1748851308102114415,194.511,2.763,186.938,4.809
885609371533312,1748851299714696703,1748851299914020611,199.324,2.75,189.054,7.52
492302036369408,1748851287186548709,1748851287392967803,206.419,0.513,196.875,9.031
1040060690464768,1748851304548592591,1748851304745715690,197.123,1.509,189.74,5.874
1168909709344768,1748851308520986598,1748851308715093596,194.107,2.37,185.581,6.155
1719013415583745,1748851325122824420,1748851325313610809,190.786,0.072,185.364,5.35
483991274651649,1748851286919033294,1748851287122363041,203.33,0.06,198.475,4.795
1665635562029056,1748851323484023512,1748851323683121669,199.098,2.709,190.028,6.361
230515189743616,1748851278212864515,1748851278446406846,233.542,0.528,228.049,4.965
1045966270496769,1748851304731318211,1748851304932261403,200.943,3.837,192.365,4.741
470616746491905,1748851286495435338,1748851286696958031,201.523,0.037,195.7,5.786
243168163397633,1748851278670250350,1748851278903056035,232.806,0.075,229.301,3.43
1608761605095424,1748851321741424223,1748851321936013041,194.589,0.155,189.5,4.933
849673380167680,1748851298606494879,1748851298805303856,198.809,0.535,191.632,6.643
716563753730048,1748851294433009302,1748851294647691683,214.682,6.028,205.131,3.523
191181879246848,1748851276731164896,1748851276991198102,260.033,2.736,248.543,8.754
58987080843265,1748851270332090614,1748851270666992153,334.902,7.389,325.47,2.042
910533066752,1748851267343543816,1748851267405196716,61.653,16.299,27.554,17.8
519132697067520,1748851288056550989,1748851288266013515,209.463,2.231,198.301,8.93
208718230716416,1748851277420563777,1748851277655491785,234.928,0.171,228.564,6.193
514038865854464,1748851287891755491,1748851288098532664,206.777,0.108,201.32,5.349
124047245443072,1748851273596034321,1748851273897814666,301.78,0.214,298.939,2.627
6755983556609,1748851267398425184,1748851268034034145,635.609,43.234,0.0,592.375
611264040534016,1748851290979253538,1748851291188037047,208.784,1.113,200.115,7.555
699418244284416,1748851293878004302,1748851294091808233,213.804,0.072,206.46,7.271
114984864448512,1748851273137976311,1748851273458486653,320.51,0.384,316.406,3.72
1700081199742977,1748851324534403848,1748851324726984176,192.58,0.693,185.446,6.441
1277306093961217,1748851311805996857,1748851311996654315,190.657,5.282,179.62,5.755
1387317386280961,1748851315064855293,1748851315257429950,192.575,3.033,183.35,6.191
1455134919884800,1748851317068888353,1748851317269973650,201.085,5.782,191.979,3.325
475740642476032,1748851286656205169,1748851286864028345,207.823,1.92,196.922,8.981
708931596845057,1748851294190771688,1748851294391521799,200.75,0.024,193.645,7.08
38019050504192,1748851269250630372,1748851269576152611,325.522,0.052,322.171,3.299
275582281580544,1748851279837681360,1748851280069268471,231.587,4.383,219.181,8.023
427563994316801,1748851285097911197,1748851285312298988,214.388,2.106,203.498,8.783
1198188501401600,1748851309407211672,1748851309602871039,195.659,1.279,184.298,10.082
1362273431977984,1748851314328700084,1748851314511828346,183.128,2.511,175.855,4.762
625488972218368,1748851291444217580,1748851291654557995,210.34,0.061,202.286,7.994
1672464560029697,1748851323694277485,1748851323886059614,191.782,0.035,189.129,2.618
469392680812544,1748851286455063628,1748851286657418284,202.355,0.03,190.931,11.393
15264313769985,1748851268142790202,1748851268429663015,286.873,10.04,275.848,0.985
1703950965276673,1748851324655297173,1748851324857960926,202.664,1.993,188.719,11.952
396210733056001,1748851284069641628,1748851284281102745,211.461,0.034,204.532,6.896
1212808570077185,1748851309857146566,1748851310049852389,192.706,0.311,185.706,6.69
1593007665053697,1748851321259641352,1748851321453912577,194.271,0.788,188.652,4.831
579369613393921,1748851289937390883,1748851290146289486,208.899,0.062,199.516,9.321
1027712659488768,1748851304172332400,1748851304368132730,195.8,1.56,184.302,9.938
396678884491264,1748851284083913642,1748851284294535803,210.622,0.046,199.973,10.603
996466772410368,1748851303179209448,1748851303380133232,200.924,0.117,195.447,5.359
87252260618240,1748851271770370323,1748851272093767905,323.398,5.302,316.764,1.332
759874203942912,1748851295814261945,1748851296017294667,203.033,1.83,197.083,4.119
790050644164609,1748851296765148767,1748851296963526319,198.378,4.641,190.296,3.44
546916840505345,1748851288927605712,1748851289131916982,204.311,1.832,191.786,10.693
344967478247424,1748851282307008243,1748851282539427447,232.419,3.302,220.709,8.408
1650371248259073,1748851323017916326,1748851323219855226,201.939,1.593,192.823,7.523
1001375920029696,1748851303334654728,1748851303540800001,206.145,2.668,195.274,8.203
800757997633537,1748851297093931262,1748851297299107446,205.176,1.739,195.309,8.127
613072221765633,1748851291036737054,1748851291245160721,208.424,0.531,203.284,4.608
807020059951104,1748851297291969169,1748851297492707398,200.738,0.072,191.985,8.681
371510376136705,1748851283233372024,1748851283453225439,219.853,0.21,216.303,3.34
380267814453249,1748851283540819799,1748851283754815799,213.996,1.252,205.777,6.966
1012650209181697,1748851303692851937,1748851303894407061,201.555,2.415,191.522,7.618
1136280842797057,1748851307532799991,1748851307727840242,195.04,1.627,185.019,8.394
1007212780584960,1748851303519143050,1748851303723146695,204.004,3.341,199.332,1.331
1208672516571137,1748851309715665786,1748851309925971606,210.306,3.278,198.037,8.99
1239175374307328,1748851310649102149,1748851310853909003,204.807,2.647,191.962,10.198
1053727276400641,1748851304969094396,1748851305168549159,199.455,0.029,191.753,7.673
239341347536896,1748851278533983944,1748851278758565435,224.581,0.07,220.003,4.508
1513679619096576,1748851318853798483,1748851319053715588,199.917,1.428,187.491,10.998
1765755544666112,1748851326538801187,1748851326728010913,189.21,4.251,178.344,6.615
794259712114689,1748851296893599602,1748851297092199258,198.6,3.305,189.739,5.556
29244432318464,1748851268793430404,1748851269119897477,326.467,13.791,320.203,0.0
198792561295360,1748851277032694132,1748851277284940010,252.246,0.586,241.621,10.04
1520469962391552,1748851319061810771,1748851319252288194,190.477,6.2,180.81,3.467
1020183581818881,1748851303927832763,1748851304132497622,204.665,0.04,199.793,4.833
606848814153729,1748851290837343286,1748851291042379659,205.036,2.903,198.696,3.438
403993213796353,1748851284324417329,1748851284534372094,209.955,0.034,202.468,7.453
437180426092544,1748851285422711277,1748851285630220987,207.51,0.358,196.322,10.83
250491082637312,1748851278936320266,1748851279169214077,232.894,0.726,222.989,9.179
1793952004964353,1748851327384907022,1748851327546620676,161.714,4.874,153.164,3.675
917980540043264,1748851300716159135,1748851300921136107,204.977,2.341,196.959,5.677
771075478650881,1748851296167674401,1748851296377008447,209.334,0.558,197.341,11.435
407785669918721,1748851284452897840,1748851284666749440,213.852,4.788,205.526,3.537
811624264892416,1748851297437758884,1748851297640977974,203.219,5.227,192.336,5.655
909227396694016,1748851300442143445,1748851300645794882,203.651,0.059,192.482,11.111
334350319091712,1748851281929522444,1748851282162360530,232.838,6.57,222.342,3.926
1059138935193601,1748851305140105376,1748851305341527161,201.422,4.789,195.279,1.354
1155444986871809,1748851308109871387,1748851308306487640,196.616,2.455,183.572,10.589
1384993808973824,1748851314993119489,1748851315188213711,195.094,0.891,182.136,12.067
1762156362072064,1748851326431680664,1748851326624528702,192.848,0.083,179.941,12.824
1207774868406272,1748851309691882374,1748851309899778807,207.896,1.457,197.236,9.203
782873753812993,1748851296543422035,1748851296738518481,195.096,1.375,191.277,2.444
1043148771950592,1748851304644946825,1748851304842887921,197.941,0.061,191.347,6.533
817650104008704,1748851297625729236,1748851297827548573,201.819,3.342,191.07,7.407
1447326669340672,1748851316836779339,1748851317027375423,190.596,7.94,182.207,0.449
210195699466241,1748851277473396681,1748851277708055826,234.659,0.041,230.747,3.871
389596483420161,1748851283853284040,1748851284065955155,212.671,0.914,199.414,12.343
131992934940672,1748851273979647780,1748851274302943382,323.296,4.856,316.707,1.733
17884243820545,1748851268265539573,1748851268567157865,301.618,10.592,294.888,0.0
1241370102595584,1748851310713222506,1748851310921075125,207.853,5.161,200.698,1.994
937548411043840,1748851301329436764,1748851301527239142,197.802,0.057,190.138,7.608
186612034043905,1748851276538491824,1748851276810284274,271.792,5.607,265.12,1.066
450365975691264,1748851285842410304,1748851286057906194,215.496,8.404,208.292,0.0
357568912293889,1748851282745002406,1748851282966893765,221.891,1.604,211.32,8.967
204418968453120,1748851277253079209,1748851277494720520,241.641,0.043,234.183,7.416
991153897865217,1748851303017604747,1748851303215925533,198.321,2.638,187.946,7.736
906594581741569,1748851300357267931,1748851300558255665,200.988,0.023,197.786,3.18
263693812105217,1748851279410674440,1748851279639107693,228.433,0.492,220.934,7.007
1182181158289409,1748851308915666286,1748851309111134536,195.468,0.03,189.715,5.723
1681071674490881,1748851323958449679,1748851324155776698,197.327,0.406,188.924,7.997
1357716471676928,1748851314191802740,1748851314380953065,189.15,0.985,182.456,5.71
1308728074698752,1748851312721451700,1748851312920495195,199.043,1.8,190.026,7.217
