Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Worker (ms),Wait (ms),Other (ms)
1324791252385793,True,True,1749146969825350470,1749146970045016336,219.666,0.437,0.0,0.0,7.364,0.2,201.954,4.059,0.0,13.453
235450107166720,False,False,1749146928195098646,1749146928507888276,312.79,0.0,0.47,0.0,1.689,0.055,307.376,0.025,0.0,5.334
1484735834488832,True,True,1749146975051191239,1749146975272459386,221.268,1.125,1.793,0.0,11.225,0.21,202.109,1.481,0.0,17.468
8710193676289,True,False,1749146918034664101,1749146918191757215,157.093,0.199,0.974,0.0,3.276,0.0,130.831,2.889,0.0,23.373
926437330649088,True,False,1749146956388476094,1749146956625569447,237.093,0.12,0.618,0.0,7.111,0.112,226.953,0.664,0.0,9.364
397121266122753,True,False,1749146935422863106,1749146935667366034,244.503,0.027,0.178,0.0,1.51,0.049,232.681,1.129,0.0,10.644
392675974971393,False,False,1749146935255472166,1749146935499816558,244.344,0.001,0.296,0.0,5.127,0.0,0.0,0.033,0.0,244.311
119133802856449,False,False,1749146922885718773,1749146923160938841,275.22,0.001,0.014,0.0,2.021,0.624,270.021,0.023,0.0,4.552
1181502553456640,False,True,1749146965277219770,1749146965485067201,207.847,0.0,0.551,0.0,8.63,0.068,198.844,0.064,0.0,8.871
141974438936576,True,True,1749146923910460112,1749146924206875211,296.415,0.76,0.196,0.0,7.79,0.131,282.04,3.255,0.0,10.989
757134014808064,False,False,1749146949791434134,1749146950056162352,264.728,0.0,0.345,0.0,7.452,0.096,254.262,0.024,0.0,10.346
913213126344705,False,False,1749146955897072304,1749146956129724465,232.652,0.001,0.01,0.0,2.143,0.038,229.024,0.022,0.0,3.568
1555671514349569,True,True,1749146977451932404,1749146977676973084,225.041,0.192,0.0,0.0,8.142,0.07,211.74,1.291,0.0,11.94
628594233573376,True,False,1749146944656616330,1749146944905330921,248.715,0.006,0.287,0.0,3.795,0.124,239.796,2.587,0.0,6.208
1225856680722432,False,False,1749146966632211588,1749146966832903148,200.692,0.0,0.256,0.0,7.484,0.097,187.676,0.024,0.0,12.895
868906243719168,True,True,1749146954225288292,1749146954474133857,248.846,0.219,0.398,0.0,7.989,0.051,237.151,1.182,0.0,10.462
950867104628736,True,False,1749146957294922780,1749146957534604205,239.681,0.043,0.497,0.0,3.002,0.2,232.165,0.747,0.0,6.569
17355962843137,False,False,1749146918264661838,1749146918548662960,284.001,0.001,0.008,0.0,1.152,0.034,275.92,0.017,0.0,8.03
